Image,Name,String,English,Marathi,Hindi,Malayalam,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu,Manipuri,Konkani,Portuguese (completed in June 25),Manipuri_meitei,Nepali
2,,String 4,"Serological tests are quick, cheap, and easy to conduct; they detect components of a person’s immune response against a pathogen. For COVID-19, these tests tell us if a person was infected in the past; but they do not work in the first 1-4 weeks after infection. Hence, PCR tests are still the gold standard for COVID-19 diagnosis.","सेरॉलॉजिकल चाचणी ही त्वरित निकाल देणारी, स्वस्त व सोपी चाचणी आहे, जी एखाद्या व्यक्तीच्या प्रतिकारशक्तीच्या घटकांचा शोध घेते. कोविड -१९ मुळे एखादी व्यक्ती पूर्वी संक्रमित झाली असेल, तर ह्या चाचणीतून ते समजू शकते. परंतु संक्रमणाच्या पहिल्या ४ आठवड्यांत ही चाचणी निरुपयोगी असते. त्यामुळे, अजुनही पी सी आर चाचणी कोविड -१९ च्या निदानासाठी सर्वात उपयुक्त चाचणी आहे. ","सीरोलॉजिकल परीक्षण त्वरित, सस्ते और आसान होते हैं; वे एक रोगज़नक़ के खिलाफ किसी व्यक्ति की प्रतिरक्षा प्रतिक्रिया के घटकों का पता लगाते हैं। COVID -19 के लिए, ये परीक्षण हमें बताते हैं कि क्या कोई व्यक्ति अतीत में संक्रमित था; लेकिन ये परीक्षण संक्रमण 1-4 सप्ताह के बाद  काम नहीं करते हैं। इसलिए, पीसीआर परीक्षण अभी भी COVID-19 के लिए सबसे विश्वसनीय परीक्षण हैं।",രോഗകാരിയായ വസ്തുവിനോട് ശരീരത്തിന്റെ പ്രതിരോധസംവിധാനത്തിന്റെ പ്രവർത്തനം അളക്കുന്ന സീറോളജിക്കൽ ടെസ്റ്റിങ് എളുപ്പവും ചിലവുകുറഞ്ഞതും പെട്ടെന്ന് ഫലം നൽകുന്നതുമാണ്. ഒരു വ്യക്തിക്ക് മുമ്പ് കോവിഡ്-19 ബാധിച്ചിരുന്നോ എന്ന് ഇതിൽ നിന്ന് മനസ്സിലാക്കാം. എങ്കിലും രോഗം വന്ന് ഒന്ന് മുതൽ നാല് വരെ ആഴ്ച കഴിഞ്ഞാലേ ഇത് ഫലപ്രദമാകൂ. അതിനാൽ പി.സി.ആർ. ടെസ്റ്റിങ് തന്നെയാണ് കോവിഡ്-19 ഏറ്റവും കൃത്യമായി നിർണ്ണയിക്കുന്നത്.,,"સિરોલોગિકલ ટેસ્ટ ઝડપી, સસ્તા, અને વાપરવામાં સરળ છે. તે કોઈ વ્યક્તિ ની રોગાણુ થી લડવાની પ્રતિરક્ષા પ્રતિક્રિયા ના ભાગ ને શોધી શકે છે. કોવિડ-10 માટે, આ ટેસ્ટ થી ખબર પડી શકે છે કે કોઈ વ્યક્તિ ને અતીત માં ચેપ થયુ હતુ, પણ આ ટેસ્ટ ચેપ ના 1-4 અઠવાડિયા માં કામ નથી કરતા. આ લીધે, પીસીઆર ટેસ્ટ કોવિડ-19 ને શોધવા માટે હજી પણ સવથી માનેલા છે. ","ਸੀਰੋਲੌਜੀਕਲ ਟੈਸਟ, ਤੇਜ਼, ਸਸਤੇ ਅਤੇ ਆਯੋਜਨ ਵਿਚ ਆਸਾਨ ਹਨ; ਉਹ ਇੱਕ ਜੀਵਾਣੂ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਵਿਅਕਤੀ ਦੇ ਪ੍ਰਤੀਰੋਧੀ ਪ੍ਰਤੀਕਰਮ ਦੇ ਭਾਗਾਂ ਦਾ ਪਤਾ ਲਗਾਉਂਦੇ ਹਨ. ਕੋਵਿਡ -19 ਲਈ, ਇਹ ਟੈਸਟ ਸਾਨੂੰ ਦੱਸਦੇ ਹਨ ਕਿ ਜੇ ਕੋਈ ਵਿਅਕਤੀ ਪਿਛਲੇ ਸਮੇਂ ਵਿੱਚ ਸੰਕਰਮਿਤ ਸੀ; ਪਰ ਉਹ ਲਾਗ ਦੇ ਪਹਿਲੇ 1-4 ਹਫ਼ਤਿਆਂ ਵਿੱਚ ਕੰਮ ਨਹੀਂ ਕਰਦੇ ।ਇਸ ਲਈ, ਪੀਸੀਆਰ ਟੈਸਟ ਅਜੇ ਵੀ ਕੋਵਿਡ -19 ਨਿਦਾਨ ਲਈ ਸੁਨਹਿਰੀ ਸਟੈਂਡਰਡ ਹਨ ।","கிருமிக்கு எதிராக உடல் தயாரிக்கும் நோய்தடுப்பாற்றல் கூறுகளை கண்டறிவது தான் சீராலாஜிக்கல் என்னபடும் தெளியவியல் பரிசோதனை. சுளுவில், மலிவாக எளிதில் இந்த பரிசோதனையை மேற்கொள்ளமுடியும். முன்பு நோய்கிருமி தாக்கம் ஏற்பட்டதா என்பதை அறியவும் உதவும். கோவிட் 19 நோயை பொறுத்தவரை கிருமி தாக்கம் ஏற்பட்ட முதல் நான்கு வாரங்கள் வரை இந்த பரிசோதனை மூலம் இனம் காண முடியாது, என்பதால் பிசிஆர் பரிசோதனையை தான் தரமாக ஏற்கிறார்கள்.",,"సెరోలాజికల్ పరీక్షలు త్వరగా చెయ్యచ్చు చౌకగా ఉంటాయి ఇంకా నిర్వహించడానికి సులభమైనవి. ఈ పరీక్షలు వ్యాధికారకానికి వ్యతిరేకంగా వ్యక్తి యొక్క రోగనిరోధక ప్రతిస్పందన యొక్క భాగన్ను కనుగొంటాయి. కోవిద్-19 కోసం ఈ పరీక్షలు ఒక వ్యక్తికి గతంలో వైరస్ సోకినట్లు చెబుతాయి; కానీ అవి సంక్రమణ తర్వాత మొదటి 1-4 వారాలలో పనిచేయవు. అందువల్ల, పిసిఆర్ పరీక్షలు ఇప్పటికీ కోవిద్-19 నిర్ధారణకు బంగారు ప్రమాణం.",,"চিৰ'ল'জিকেল পৰীক্ষাবোৰ অতি কম সময়তে, কম খৰচত, সহজে কৰিব পাৰি। ইয়াৰ দ্বাৰা এজন ব্যক্তিৰ দেহত কোনো এক বীজাণুৰ বিৰূদ্ধে থকা প্ৰতিৰোধী ক্ষমতাৰ উপাদানবোৰৰ অৱস্থিতি নিৰ্ণয় কৰিব পাৰি। ক'ভিড-১৯ৰ ক্ষেত্ৰত, এজন ব্যক্তি আগেয়ে এই ৰোগত আক্ৰান্ত হৈছিলনেকি সেইটো ধৰিব পাৰি; কিন্তু সংক্ৰমণৰ প্ৰথম ১-৪ সপ্তাহৰ ভিতৰত এনে পৰীক্ষাই কাম নিদিয়ে। সেয়েহে, ক'ভিড-‌১৯ নিৰ্ণয়ৰ কাৰণে এতিয়াও পি, চি, আৰ্‌ পৰীক্ষাই হ'ল প্ৰামাণিক উপায়।",,سیرولوجی ٹیسٹ تیز ، سستے اور انعقاد میں آسان ہیں۔ وہ ایک روگزن کے خلاف شخص کے مدافعتی رد عمل کے اجزاء کا پتہ لگاتے ہیں۔ کوویڈ ١٩ کے لیے یہ ٹیسٹ ہمیں بتاتے ہیں کہ کیا ماضی میں شخص کو انفکشن تھا۔ لیکن یہ انفیکشن کے بعد پہلے ایک سے چارہفتوں میں کام نہیں کرتے ہیں۔ لہذا ، پی سی آر ٹیسٹ اب بھی کوویڈ ١٩ کی تشخیص کے لئے بہترین معیار رکھتاہے۔,,"सेरॉलॉजिकल टेस्ट मनशांच्या रोगप्रतिकारशक्ती-घटकांचो शोध घेता; ही टेस्ट सोपी, त्वरित आनी सवाय आसता. असल्या टेस्टीन एखाद्याक पयलीं कोविड-१९ जाल्लो की ना हें कळुंक शकता. पूण, संक्रमण जातकीच १-४ आठवड्यांपर्यंत ही टेस्ट निरुपयोगी आसता. त्याखातीर, अजूनतरीं कोविड-१९ खातीर पी सी आर टेस्ट हीच उत्तम आसा. ","Testes sorológicos são rápidos, baratos e fáceis de realizar; eles detectam componentes da resposta imunológica de uma pessoa na presença de um patógeno. Para a Covid-19, esses testes dizem se a pessoa foi infectada no passado, mas eles não funcionam nas primeiras 1 a 4 semanas após a infecção. Logo, testes PCR ainda são o padrão para o diagnóstico de infecção por Covid-19. ",,"
सेरोलोजिकल परिक्षण छिटो, छरितो र सस्तो हुन्छ । यसमा खासगरी व्यक्तिको जीवाणुप्रतिको प्रतिरक्षा प्रणाली परिक्षण गरिन्छ । कोभिड-१९ को हकमा यो परिक्षणले कुनै व्यक्ति विगतमा संक्रमित भए नभएको निर्क्यौल गर्छ तर संक्रमण भएको १-४ हप्ता सम्म यो परिक्षणले काम गर्दैन। त्यसैले हालसम्म पिसिआर परिक्षण नै कोभिड-१९ को परिक्षन्को लागि सुनौलो मापदण्ड भएको छ ।"
3,19qna_2nd_wave,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
3,,String 2,Is a second wave of the pandemic likely to occur?,कोविड -१९ महामारीची दुसरी लाट येण्याची शक्यता आहे का?,क्या महामारी की दूसरी लहर होने की संभावना है?,പകർച്ചവ്യാധിയുടെ രണ്ടാം വ്യാപനമുണ്ടാകാൻ സാധ്യതയുണ്ടോ?,,મહામારી ની બીજી લહેર થવાની શક્યતા છે?,ਕੀ ਮਹਾਂਮਾਰੀ ਦੀ ਦੂਸਰੀ ਲਹਿਰ ਆਉਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,கொரோனா தொற்று இரண்டாம் அலை வருமா?,,మహమ్మారి యొక్క రెండవ తరంగం సంభవించే అవకాశం ఉందా?,,অতিমাৰীটো দ্বিতীয়বাৰলৈ আকৌ এবাৰ হোৱাৰ সম্ভাৱনা আছেনেকি?,,کیا وبائی امراض کی دوسری لہر آنے کا امکان ہے؟,,ह्या महामारीची दुसरी लहर येवु शकता?,É possível que ocorra uma segunda onda da pandemia? ,,के कोभिड-१९ को दोश्रो चरण/लहर आउंदै हो?
3,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
3,,String 4,A second wave of infection (i.e. rise in number of new cases) may occur if the virus mutates to a new strain; is able to re-infect recovered people; or if community transmission increases in post-lockdown phase. A second wave is more likely if people do not continue to follow physical distancing and hand washing.,"जर कोरोनाविष्णुचे उत्परिवर्तन एखाद्या वेगळ्या स्वरूपात झाले आणि त्यामुळे बरे झालेले लोक पुन्हा संक्रमित झाले, किंवा लॉकडाउन उघडल्यानंतर संक्रमण वाढले, तर कोविड -१९ महामारीची दुसरी लाट येऊ शकते. लोकांनी शारीरिक अंतर व हातांची स्वच्छता याकडे दुर्लक्ष केले, तर दुसरी लाट येण्याची शक्यता जास्त वाढू शकते.","
संक्रमण की एक दूसरी लहर (यानी नए मामलों की संख्या में वृद्धि) हो सकती है यदि वायरस एक नए रूप में  उत्परिवर्तित होता  है; या एक बार संक्रमण से ठीक हुए  लोगों को फिर से संक्रमित करता  है; या अगर पोस्ट-लॉकडाउन चरण में सामुदायिक प्रसारण बढ़ता है। एक दूसरी लहर अधिक होने की संभावना है अगर लोग शारीरिक दूरी  और हाथ धोने का पालन करना जारी नहीं रखते हैं।","രണ്ടാം വ്യാപനം (അതായത്, പുതിയ രോഗബാധിതരുടെ എണ്ണത്തിൽ വർദ്ധന) പല കാരണങ്ങളാലും സംഭവിക്കാം: വൈറസ് പരിണമിച്ച് പുതിയ രൂപമെടുത്താലോ രോഗം ഒരു തവണ വന്ന് മാറിയവർക്ക് വീണ്ടും രോഗം ബാധിച്ചാലോ ലോക്ക്ഡൗൺ നിർത്തലാക്കിയ ശേഷം സമൂഹവ്യാപനം നടന്നാലോ ഇങ്ങനെ വരാം. സാമൂഹിക അകലം പാലിക്കുന്നതിലും കൈ കഴുകി വൃത്തിയാക്കുന്നതിലും വീഴ്ച വരുത്തിയാൽ രണ്ടാം വ്യാപനത്തിനുള്ള സാധ്യത വർദ്ധിക്കുന്നു.",,મહામારી ની બીજી લહેર (એટલે કે નવા કેસ ની સંખ્યા માં વધારો) આ કારણો લીધે થઈ શકે છે - વાયરસ નવા સ્ટ્રેન માં પરિવર્તી થઈ જાય; ઠીક થઈ ગયેલા લોકો ને ફરી થી માંદો કરી શકે; કે લોકડાઉન પત્યા પછી કમ્યુનિટિ ટ્રાન્સમીશન વધી જાય. જો લોકો બીજા થી દૂરી નહીં રાખે અને હાથ ધોવાનૂ બંદ કરી દે તો બીજા લહેર ની શક્યતા વધી જશે.   ,"ਸਕਰਮਣ ਦੀ ਦੂਜੀ ਲਹਿਰ (ਮਤਲਬ ਨਵੇਂ ਮਾਮਲਿਆਂ ਦੇ ਵਿੱਚ ਵਾਧਾ) ਆ ਸਕਦੀ ਹੈ ਜੇਕਰ ਵਾਇਰਸ ਇੱਕ ਨਵੇਂ ਰੂਪ ਵਿਚ ਪਰਿਵਰਤਨ ਹੁੰਦਾ ਹੈ, ਜਾਂ ਇੱਕ ਬਾਰ ਸੰਕਰਮਣ ਤੋਂ ਠੀਕ ਹੋਏ ਲੋਕ ਦੋਬਾਰਾ ਸੰਕਰਮਿਤ ਹੋਣ, ਜਾਂ ਕਮਿਊਨਿਟੀ ਸੰਕਰਮਣ ਤਾਲਾਬੰਦੀ ਤੋਂ ਬਾਅਦ ਵੱਧ ਜਾਵੇ। ਦੂਸਰੀ ਲਹਿਰ ਦੇ ਹੋਣ ਦੀ ਜਿਆਦਾ ਸੰਭਾਵਨਾ ਹੋਵੇਗੀ ਨੇ ਲੋਕ ਸਰੀਰਿਕ ਦੂਰੀ ਜਾਂ ਹੱਥ ਧੋਣ ਦਾ ਪਾਲਣ ਨਾ ਕਰਨ।",திடீர் மரபணு மாற்றத்தில் துணையின (ஸ்ட்ரெய்ன்) வைரஸ் உருவானாலோ அல்லது ஊரடங்கு தளர்வு நேரத்தில் சமூகப்பரவல் ஏற்பட்டாலோ குறைந்து வந்த நிலை மாறி மறுபடியும் தொற்று ஏற்பட்டவர்கள் எண்ணிக்கை உயரும் வகையில் நோய்தொற்று உயர்ந்து இரண்டாம் அலை ஏற்படலாம். தனிநபர் இடைவெளி மற்றும் கைகளை சுத்தம் செய்வது போன்ற சுகாதார நடவடிக்கைகளை முறையாக மேற்கொள்ளாமல் இருந்தால் இரண்டாம் அலை ஏற்படுவதற்குக் கூடுதல் வாய்ப்பு உருவாகும்.,,,,"সাংক্ৰমণৰ আন এক জোৱাৰ (অৰ্থাৎ নতুনকৈ হোৱা ৰোগীৰ সংখ্যা বৃদ্ধি) আহিব পাৰে, যদিহে ভাইৰাছটোৰ উৎপৰিৱৰ্তন হৈ এক নতুন প্ৰকাৰৰ সৃষ্টি হয়; আৰোগ্য মাভ কৰা ব্যক্তিক পুনৰ আক্ৰান্ত কৰে; অথবা যদি লক্‌ডাউনৰ পৰৱৰ্তী কালত সামাজিক সংক্ৰমণ বৃদ্ধি হয়। যদিহে জনসাধাৰণে শাৰীৰিক ব্যৱধান আৰু হাত ধোৱাৰ দৰে ব্যৱস্থাসমূহ আওকাণ কৰি চলে, তেন্তে সংক্ৰমণৰ এক দ্বিতীয় জোৱাৰ অহাৰ পূৰ্ণ সম্ভাৱনা আছে।  ",,انفیکشن کی دوسری لہر (یعنی نئے معاملات کی تعداد میں اضافہ) ہوسکتی ہے اگر وائرس کسی نئے اسٹرین میں تبدیل ہوجاتا ہے۔ بازیاب لوگوں کو دوبارہ متاثر کرنے کے قابل ہے۔ یا اگر لاک ڈاؤن کے بعد کے مرحلے میں کمیونٹی ٹرانسمیشن بڑھ جاتی ہے۔ اگر لوگ جسمانی فاصلے اور ہاتھ دھونے کی پیروی نہیں کرتے ہیں تو دوسری لہر کا امکان زیادہ ہے۔,,"संक्रमणाची दुसरी लहर म्हणजेच नवीन संक्रमित केसींनी वाढ. हाजीं कारणां - उत्परिवर्तन जावुन विषाणू नवीन रूपान प्रकट जावप, बरे जाल्ले लोक परत संक्रमित जावप, किंव्वा लॉकडाउन सोपतकीच सामूहिक प्रसार (कम्युनिटी ट्रान्समिशन) जावप. लोकांनी एकमेकांमदीं अंतर दवारपाचें किंव्वा हात स्वच्छ दवरपाचें सोडलें, तर ह्या महामारीची दुसरी लहर येवपाची शक्यता वाढतली. ","Uma segunda onda da infecção (i.e., um aumento no número de novos casos) pode ocorrer: 1) se o vírus sofrer mutação para uma nova cepa, 2) se ele for capaz de reinfectar pessoas recuperadas, 3) se a transmissão comunitária aumentar na fase pós-isolamento. Uma segunda onda é mais provável caso as pessoas não mantenham o distanciamento físico e a higiene pessoal, como lavar as mãos. ",,"यदि भाईरस परिवर्तन भएर नयाँ स्वरुपमा आयो, निको भएका मानिसलाई पुन: संक्रमित गर्यो वा बन्दबंदीपछिको समयमा समुदायमा संक्रमण बढेर गयो भने संक्रमणको दोश्रो चरण भएको मानिन्छ। त्यसैले मानिसहरुले भौतिक दुरी कायम नगेरमा बेला बेला साबुन पानीले मिचिमिची हात नधोएमा दोश्रो चरण संक्रमण दोस्रो चरणमा जान पनि सक्छ।"
4,20qna_cell_entry,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
4,,String 2,"Once someone inhales contaminated droplets, how does the novel coronavirus enter their cells?",दूषित थेंब श्वासावाटे शरीरात गेल्यानंतर कोरोना विषाणू पेशीमध्ये कसा प्रवेश करतो?,"एक बार जब कोई व्यक्ति दूषित बूंदों को साँस में लेता है, तो कोरोनवायरस नाक से कोशिकाओं में कैसे प्रवेश करता है?",ഒരു വ്യക്തി രോഗകാരിയായ തുള്ളികൾ ശ്വസിക്കുമ്പോൾ കൊറോണ വൈറസ് അവരുടെ കോശങ്ങളിലെത്തുന്നതെങ്ങനെ?,,જ્યારે કોઈ માણસ પ્રદૂષિત ટીપા શ્વાસ દ્વારા અંદર લઈ લે તો નાૅવલ કોરોનાવાયરસ તેમના કોષાણુ માં કેવી રીતે પ્રવેશ કરે છે?  ,ਇੱਕ ਬਾਰ ਜਦੋਂ ਕੋਈ ਦੂਸ਼ਿਤ ਬੂੰਦਾਂ ਨੂੰ ਸਾਹ ਰਾਹੀਂ ਲੈਂਦਾ ਹੈ ਤਾਂ ਕੋਰੋਨਾਵਾਇਰਸ ਸੈਲਾਂ ਤੱਕ ਕਿਵੇਂ ਪੁੱਜਦਾ ਹੈ?,கிருமி செறிவான திவலைகளை நுகர்ந்தால் நாவல் கொரோனா வைரஸ் எப்படி செல்களுக்குள் நுழைகிறது?,,,,এবাৰ বীজাণুযুক্ত জলকণিকা নাকেৰে সোমোৱাৰ পাছত নতুন কৰ'না ভাইৰাছবোৰ কেনেকৈ কোষত প্ৰৱেশ কৰে?,,ایک بار جب کوئی آلودہ بوندوں کو سانس کے ذریعے اپنے اندر لیتا ہے تو ، ناول کورونا وائرس اپنے خلیوں میں کیسے داخل ہوتا ہے؟,,"जर कोणें विषाणू-दूषित ल्हान थेंब्यांचें श्वसन केलें, तर हो कोरोनाविषाणू तांच्या सेल्सांन्नी  प्रवेश कसो करता?( सेल्स म्हणजे पेशी)","Uma vez que alguém inala gotículas contaminadas, como o Covid-19 entra em suas células? ",,"जब कसैले संक्रमित छिटा निल्छन, कसरी नोवेल कोरोना भाईरस उनीहरुको कोषिकामा पुग्छ?"
4,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
4,,String 4,"The envelope of the novel coronavirus has embedded proteins called S glycoproteins, which binds to a receptor protein (ACE2) on the surface of cells in our nose, mouth and lungs. The bound proteins allow the membrane of the virus and the host cell to fuse, allowing the virus to enter.","कोरोना विषाणूच्या बाहेरील आवरणावर स्पाइक नावाचे एक प्रथिन असते जे नाक, तोंड आणि फुफ्फुसांच्या पेशींच्या आवरणावरील एसीइ2 नावाच्या एका प्रथिनाबरोबर जोडले जाते. यानंतर आपल्या पेशीचे आणि विषाणूचे आवरण एकात्म होते, आणि विषाणू पेशीमध्ये प्रवेश करतो. ","कोरोनावायरस के बाहर की सतह में एस ग्लाइकोप्रोटीन नामक प्रोटीन होता है, जो हमारी नाक, मुंह और फेफड़ों में कोशिकाओं की सतह पर एक रिसेप्टर प्रोटीन (ACE2) से बंधता है। बाध्य प्रोटीन वायरस की झिल्ली और मेजबान सेल को फ्यूज करने की अनुमति देते हैं, जिससे वायरस प्रवेश कर सकता है।","കൊറോണ വൈറസിന്റെ ആവരണത്തിൽ എസ് ഗ്ലൈക്കോപ്രോട്ടീനുകൾ അടങ്ങിയിരിക്കുന്നു. ഇവ മൂക്ക്, വായ, ശ്വാസകോശം എന്നിവിടങ്ങളിലെ കോശങ്ങളിലെ എ.സി.ഇ2 എന്ന റിസപ്റ്റർ പ്രോട്ടീനുമായി ബന്ധിക്കുന്നു. ഈ ബന്ധം വൈറസിന്റെയും കോശത്തിന്റെയും ആവരണങ്ങളെ യോജിപ്പിക്കുകയും വൈറസിനെ കോശത്തിൽ പ്രവേശിക്കാൻ അനുവദിക്കുകയും ചെയ്യുന്നു.",,"નાૅવલ કોરોનાવાયરસ ના આવરણ માં એસ ગ્લાઈકોપ્રોટીન નામના પ્રોટીન બેસેલા હોય છે. આ પ્રોટીન એક રિસેપ્ટર પ્રોટીન (એસીઈ2), જે આપણા નાક, મોઢા અને ફેફસાં ના કોષાણુ ની સપટી પર હોય છે, તેની સાથે બાંધી જાય છે. બાંધી ગયેલા પ્રોટીન વાયરસ ની પરત અને કોષાણુ ને એકીકૃત થવા દે છે, જે થી વાયરસ અંદર પ્રવેશી શકે છે. ","ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਦੇ ਲਿਫਾਫੇ ਵਿਚ ਐਸ ਗਲਾਈਕੋਪ੍ਰੋਟੀਨਜ਼ ਨਾਮਕ ਪ੍ਰੋਟੀਨ ਸ਼ਾਮਲ ਹਨ, ਜੋ ਸਾਡੀ ਨੱਕ, ਮੂੰਹ ਅਤੇ ਫੇਫੜਿਆਂ ਵਿਚ ਸੈੱਲਾਂ ਦੀ ਸਤਹ 'ਤੇ ਰੀਸੈਪਟਰ ਪ੍ਰੋਟੀਨ (ਏਸੀਈ 2) ਨਾਲ ਬੰਨ੍ਹਦੇ ਹਨ । ਬੰਨ੍ਹੇ ਪ੍ਰੋਟੀਨ ਵਾਇਰਸ ਦੇ ਝਿੱਲੀ ਅਤੇ ਹੋਸਟ ਸੈੱਲ ਨੂੰ  ਜੋੜ ਦਿੰਦੇ ਹਨ, ਜਿਸ ਨਾਲ ਵਾਇਰਸ ਦਾਖਲ ਹੋ ਸਕਦੇ ਹਨ ।",மூக்கு தொண்டை மற்றும் நுரையீரல் பகுதியில் உள்ள புறணி செல்கள் மீது உள்ள ஏற்பி புரதம் (ACE2) மீது வைரஸின் மேற்புறத்தில் உள்ள S கிளைக்கோபுரதங்கள் பிணைந்து கொள்கின்றன. இந்த பிணைப்பின் தொடர்ச்சியாக வைரஸ் மற்றும் ஒம்புயிரியி செல்லின் மேலுறைகள் ஒன்றுடன் ஒன்று பிணைந்து வைரஸ் நுழைய வழிகோலுகிறது.,,,,"নতুন কৰ'না ভাইৰাছটোৰ বাহিৰৰ আৱৰণখনত এচ্‌ গ্লাইক'প্ৰ'টিন নামৰ এবিধ প্ৰ'টিন থাকে, যি আমাৰ নাক, মুখ আৰু হাওঁফাওঁৰ কোষবিলাকৰ পৃষ্ঠত থকা এবিধ গ্ৰহণকাৰী প্ৰ'টিন (এ, চি, ই ২)ৰ সৈতে বান্ধ খাব পাৰে। ইয়াৰ ফলত ভাইৰাছ আৰু কোষৰ আৱৰণ দুখন লগ লাগি যায় আৰু ভাইৰাছটো কোষৰ ভিতৰলৈ সোমাই যায়।",,ناول کورونا وائرس کے لفافے میں ایس گلائکوپروٹینز نامی پروٹین کی سرایت رکھتاہے ، جو ہماری ناک ، منہ اور پھیپھڑوں کے خلیوں کی سطح پر رسیپٹر پروٹین (اے-ای-سی-ٹو) سے جڑا ہوا ہے۔ پابند پروٹین وائرس کی جھلی اور میزبان خلیہ کو فیوز کرنے کی اجازت دیتے ہیں جس سے وائرس جسم میں داخل ہوہے۔,,"कोरोनाविषाणूच्या भायल्या थरान 'एस-ग्लायकोप्रोटीन' नावाचें प्रोटीन आसता. तशेंच आमच्या नाक, घसो आनी फुफुसांच्या सेल्सचेर 'ए सी ई २' नावाचें प्रोटीन आसता. ह्या दोनी प्रोटीनांचो एकमेकांबरोबर संपर्क जातकीच, विषाणू आनी आमचे सेल्स चे भायले थर एक जातात आनी विषाणू आमच्या सेल्सांनी प्रवेश करता. ","O envelope do Covid-19 tem proteínas chamadas glicoproteínas S (espículas), que se ligam a um receptor de proteínas (ACE-2) na superficie das células em nosso nariz, boca ou pulmões. As proteínas conectadas permitem que a membrana do vírus e da célula hospedeira se fundam, permitindo que o vírus penetre na célula. ",,"नोवेल कोरोना भाईरसको बाहिरी भाग एस ग्लाइकोप्रोटिनले बनेको हुन्छ जुन हाम्रो नाक, मुख र फोक्सोको सतहमा भएको कोशिकाको  रिसेप्टर प्रोटिन (एसीइ२) संग सजिलै जोडिन सक्छ। यसरी यी प्रोटिनहरु जोडिनाले भाईरस र होस्ट कोशीका एक हुन्छन र भाईरस भित्र छिर्छ।"
5,21qna_family_neighbour,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி :,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
